date_of_birth,gender,email,anniversary,number,name
1956-05-10,female,anthonypotts@bentley.info,wedding,+2349453126128,Katrina
1972-07-14,female,michaelsilva@yahoo.com,none,+2341253568521,Stephanie
1974-09-27,male,heatherwillis@hotmail.com,birthday,+2349504156379,Mark
1945-03-03,male,adamspaul@yahoo.com,none,+2349034618812,Rodney
1987-07-13,female,erica93@yahoo.com,birthday,+2345287339542,Sierra
1955-05-13,male,vanessamiller@gmail.com,birthday,+2341619729850,Brandon
1957-04-10,male,jhudson@yahoo.com,birthday,+2346614758140,Matthew
1997-07-14,male,ehenderson@hotmail.com,birthday,+2344554979250,David
1962-10-02,male,robinsonmichael@scott-lowe.com,wedding,+2341985579547,Stephen
1966-06-25,male,atkinsonmark@hotmail.com,engagement,+2346295680963,Matthew
1979-06-03,male,xmiller@murphy.com,none,+2342275064394,Kyle
1957-03-27,male,kellysmith@santos.com,wedding,+2342627601727,Christopher
1994-11-02,female,jhernandez@grant.com,none,+2343122044466,Cynthia
1952-03-21,male,sarah02@chapman.org,engagement,+2347638799855,Matthew
1964-01-15,male,robertwilliams@mccormick.info,birthday,+2343020000799,Robert
1961-08-14,male,andradeamy@hotmail.com,none,+2345347330055,John
1962-10-14,male,owensdiane@johnston.info,none,+2346345548348,Sean
1954-08-30,female,melissa22@kramer.org,wedding,+2342150311828,Angela
1965-04-20,female,plarson@wilson.info,engagement,+2341906037051,Kathryn
1987-11-09,female,harringtonshane@hotmail.com,none,+2342360836835,Kristin
1981-06-28,female,john88@yahoo.com,birthday,+2344952832855,Anita
1965-10-22,female,scottbest@ford-chung.net,birthday,+2342264878984,Kelsey
2000-07-01,male,gturner@hanna.net,wedding,+2344047045109,Kevin
1977-09-23,male,christensenapril@hotmail.com,wedding,+2342195106483,Daniel
1970-10-26,female,petersonrobert@boyle.com,engagement,+2344457299264,Heather
1969-03-21,male,xrodriguez@ross.com,engagement,+2348141878363,John
2005-10-03,male,catherinesolis@hotmail.com,none,+2342239033464,Gary
1994-03-28,male,juliecrawford@yahoo.com,wedding,+2346333691963,Nathan
1995-02-23,female,ashleykayla@matthews.org,wedding,+2346123173621,Destiny
1948-05-31,female,juan36@richards-adams.org,birthday,+2346096540642,Amanda
